name,nickname
Duda Santana,Cowboyzinha
Andre Lima,Mascote
Elias Urbina,Elias_1_3.00
Abdul Azeem Badakhshi,The Afghan Lion
Anthony Christodoulou,Anthony_3_1.71
Mohammed Usman,The Motor
Dwight Grant,The Body Snatcher_2_1.83
Brett Albee,Brett_1_1.50
Matt Hobar,The Crowbar_1_3.00
Luke Caudillo,Lil' Hulk
Naoki Matsushita,Naoki_1_0.75
Mark Godbeer,The Hand Of
Jonathan Wiezorek,Jonathan_3_5.50
Rex Holman,Big Dog_1_2.00
Maxim Grishin,Maximus_2_3.20
David Hulett,Hollywood_4_2.20
Desmond Green,The Predator_4_2.88
Andre Roberts,The Chief
SeongChan Hong,Honey Badger
Dorian Price,Dorian
Townsend Saunders,Townsend
Anton Zafir,The Professor_1_2.33
Juancamilo Ronderos,100
Steve Kennedy,The Steamrolla
Justin Willis,Big Pretty
Andreas Michailidis,The Spartan_5_2.17
Curtis Stout,Curtis
Sergey Khandozhko,Honda
Cody Carrillo,Cody_3_0.69
Zach Light,Zach_2_0.82
Miguel Cosio,Miguel_2_0.08
Oleg Taktarov,The Russian Bear
Saeed Hosseini,Saeed
Paul Song,Paul_5_1.00
Victor Reyna,Kelevra
Yuri Panferov,The Russian Polar Bear
Jonny Parsons,The Sluggernaut
JC Cottrell,JC
Jeremiah Billington,Jeremiah_3_5.50
Tom Gallicchio,Da Tank
Brad Morris,Brad_4_1.67
Clayton MacFarlane,Clayton_1_4.00
Jason Thacker,Jason_6_0.00
Brian Davidson,Brian_5_3.25
Dominic Clark,Dominic
Luis Mendoza,Luis_1_0.00
Mike Altman,Mike_20_0.25
Jason Day,Dooms
Rickson Zenidim,The King_2_7.00
Ricardo Morais,The Mutant
Greg Scott,Greg_2_0.75
Jaime Jara,El Cucui
Dayana Silva,Dayana
Raul Castillo,Raul
Matt Van Buren,Gutter
Bronson Mohika,Bronson
Blake Watkins,Blake
Christian Ocon,Christian_3_2.00
Bolaji Oki,The Zulu Warrior
Yuele Huang,Yuele
Ricardo Barros,Ricardo_2_1.00
Jack McGlaughlin,Jack_2_0.25
Tim Caron,The Bear_1_7.00
Alfred Khashakyan,The Fearless_1_2.67
Justin McElfresh,Justin_9_1.50
Ian Butler,Ian_2_1.00
Quinn Mulhern,Quinn
Brandon Sayles,Man of War
Lance Lawrence,Lance
Stephen Palling,Bozo
Scott Baker,Scott_9_1.00
Steve Nelmark,The Sandman_4_2.00
Brian Warren,Mr. Unbreakable
Matt Lucas,Luke Duke
Juan Alcain,Juan_2_0.50
Jamey Simmons,The Afro Samurai
Aaron Wilkinson,The Daywalker
Max Martyniouk,Payne
Bryan Vetell,Bryan_2_1.33
Mario Neto,Sukata
David Rasouri,David_7_0.67
Kaloyan Kolev,Kaloyan
Emily Kagan,Emily_1_1.00
Sora Rakhmonova,Sora
Eric Irvin,Eric_8_2.75
Jonny Goh,Jonny
Waldo Cortes-Acosta,Salsa Boy
Terrion Ware,Flash
Dan Stittgen,The Anvil_1_2.40
Masanori Suda,Masanori_2_2.00
Laureano Staropoli,Pepi
Kiefer Crosbie,BDK
Lee Kwan Bum,Lee_1_0.00
Nick Bustamante,Nick_8_1.67
Sako Chivitchian,Sako
Joe Charles,The Ghetto Man
Derrick Noble,The Eraser
Thomas Almeida,Thominhas
Takayo Hashi,Takayo
Augusto Montano,Dodger
Edson Silva,Paredao
Devin Smyth,Devin_1_2.00
Chan-Mi Jeon,Chan-Mi
Zachary Borrego,The Dragon_3_3.00
Valter Walker,The Clean Monster
Vanessa Melo,Vanessa
Sione Latu,Sione
Ross Pearson,The Real Deal
Sergei Pavlovich,Sergei_1_9.00
Teila Tuli,Teila
Jiniushiyue,Little King Kong
Abus Magomedov,Abus
Patricky Freire,Pitbull_6_2.12
Ivan Lopez,Ivan_1_4.67
Tony Johnson,Tony_3_3.67
Alessio Di Chirico,Manzo
Carl Seumanutafa,Carl
Aaron Wetherspoon,Slam
Enrique Watson,Enrique
Kelly Dullanty,Psycho_1_2.00
Leslie Smith,The Peacemaker
Pedro Nobre,The Rock
Erick Sanchez,Erick_2_2.67
Francisco Bueno,Francisco_1_2.50
Jeremy Jackson,Scorpion
Tristan Arenal,Tristan
Tebaris Gordon,Boom_1_3.00
Alvin Cacdac,Alvin_1_1.38
Joshua Weems,Wide Open
Erick Montano,Perry
Top Noi Kiwram,Top
Kyle Reyes,Boom_2_2.14
Vince Morales,Vandetta
Yukiya Naito,Yukiya
Joe Moreira,Joe_12_1.00
David Branch,David_8_3.67
Gabriel Arges,Gabriel_2_0.00
Dieusel Berto,Dieusel
Gleidson Cutis,Poney
Brandon Visher,The Viper
Adlan Amagov,Borz_1_7.00
SeungWoo Choi,Sting
Juan Adams,The Kraken
War Machine,War
JungHyun Lee,The Phenom_2_8.00
CJ Hamilton,The Autobot
AJ Matthews,AJ_1_1.14
James Toney,Lights Out_2_0.00
William Macario,Patolino
Modestas Bukauskas,The Baltic Gladiator
Mark Dickman,Tricky
Jared Gordon,Flash_1_3.33
Floyd Sword,Floyd
Wes Albritton,Wes
Mauricio Alonso,Mauricio
Kyle Dietz,Kyle_7_2.50
Alex Zuniga,Alex_4_2.00
Ryan McGillivray,The Kid_3_12.00
Lissette Neri,Lissette
Pro Escobedo,Pro
Dylan Mantello,The Quiet Man
Poliana Botelho,Poliana
Minoki Ichihara,Minoki
Cole Williams,Havoc_1_3.67
Isi Fitikefu,Doxz
Alexis Dufresne,Sneaky Zebra
Silvana Gomez Juarez,La Malvada
Tony Johnson,Tony_4_3.50
Alex Dunworth,Alex_5_1.00
Brett Cooper,Brett_2_1.92
Joao Zaiden,Joao_1_3.33
Fabiano Scherner,Pegaleve
Punahele Soriano,Puna
Lowell Anderson,Lowell
Eddie Sanchez,The Manic Hispanic
David Hood,David_9_0.33
Dan Barrera,The Fireman
Mike Bronzoulis,The Greek
Greg Velasco,The Viking King
Dae Won Kim,Dae
Yanis Ghemmouri,The Desert Warrior
Alex Ricci,Alex_6_2.00
Alex Crispin,Alex_7_0.00
Aaron Miller,Blood Spiller
Ion Cherdivara,Ion
Jeremy May,Jeremy_7_1.30
Rodrigo Ruas,Rodrigo_2_0.80
Artem Frolov,Artem
Cody Stamann,The Spartan_6_3.50
Adam Schindler,Adam_5_1.67
David Teymur,David_10_4.00
Hans Nijman,Hans_1_1.29
Fabio Gurgel,Fabio
Mike Seal,Crazy Boy
Nikk Covert,The Brick_1_0.75
Phil Harris,Billy_3_1.83
Hunter Worsham,The Future_1_2.33
Cory Peterson,LA Giant
Damien Trites,The Omen
Jake Lindsey,The Librarian
Josh Jarvis,Josh_12_0.25
Roland Payne,Roland_1_0.00
Greg McIntyre,Greg_3_1.50
Spencer Hearns,Spencer
Dustin Jacoby,The Hanyak
Jamie Moyle,Jamie_3_1.33
Steve Montgomery,The Creepy Weasel
Scott Ventimiglia,Meant to Kill Ya
Sidney Silva,Sidney_1_2.00
Will Santiago,The Brown Bomber
Manuel Rodriguez,Chalate
Kristian Rothaermel,Kristian
Jamahal Hill,Sweet Dreams
Chad Cook,Chad_3_0.83
Mark Striegl,Mugen
SeungGuk Choi,SeungGuk
Ray Sefo,Sugarfoot
Joe Hernandez,Joe_13_0.00
Sandra Lavado,Peruvian Zombie
Hugo Viana,Wolverine_3_2.00
Claudio Mattos,Popeye
Gareth Joseph,Gareth
Tom Watson,Kong_1_1.89
Steve Bosse,The Boss_3_6.00
Tiki Ghosn,Tiki
Brunno Ferreira,The Hulk_2_10.00
Jhonata Diniz,Jhonata
Stephanie Luciano,Rondinha
Erick Gonzalez,The Ghost Pepper
Paul Varelans,The Polar Bear
Bharat Kandare,Daring
Drew Dimanlig,Drew_1_0.75
Yousri Belgaroui,Baby Face Assassin
John Makdessi,The Bull_1_2.00
James Barnes,Mooka
Mitchell Sipe,No Dice
Daniel Spitz,Daniel_9_2.00
Raja Shippen,Raja
Ailiya Muratbek,Ailiya
Michal Figlak,Mad Dog_2_8.00
Yohan Banks,Yohan
Jose Canseco,Jose_4_0.00
Chad Griggs,The Grave Digger
Dmitri Stepanov,Dmitri
Josh Haynes,Bring the Pain
Seichi Ikemoto,Seichi
Matt Skelton,Matt_8_0.00
Lina Kvokov,Lina
Aurelijus Kerpe,Aurelijus
Todd Duffee,Todd_2_3.00
Lyman Good,Cyborg_3_3.50
Jutaro Nakao,Jutaro
Pietro Menga,Pietro
Isis Verbeek,Fight Queen
Shane Primm,Shane_2_1.00
Charles McTorry,Charles
Mike Bourke,The Rhino_1_0.62
Naho Sugiyuma,Sugi Rock
Anthony Lapsley,The Recipe
Jason Freeman,Jason_7_1.50
Eddie Mendez,Eddie_2_2.67
Joe Neal,Nine Lives
Courtney Buck,Courtney
Bartosz Fabinski,The Butcher_1_3.00
Steve Jennum,Steve_2_0.67
Sim Kai Xiong,Kobra
Amir Aliakbari,Amir_1_10.00
Melissa Dixon,No Mess
Courtney Turner,Courtney_1_0.00
Ray Sloan,Ray_1_8.00
Thomas Diagne,Thomas_1_1.00
Olivier Murad,Warrior of God
Chi Lewis-Parry,Chopper
Jon Manley,Jon_1_2.25
Jae Suk Lim,Jae
Mychal Clark,Mychal
Dominic Brown,Dominic_1_0.70
Emilio Cuellar,Show Kid
Zarah Fairn,Infinite
Azunna Anyanwu,Zulu
Hashem Arkhagha,Hashem
Albert Rios,Albert_2_2.17
Tatsuya Ando,Tatsuya_1_4.33
Won Jin Eoh,Won
Karl Willis,Karl_1_0.00
Guram Kutateladze,Georgian Viking
Khaos Williams,The OxFighter
Marcin Bandel,Bomba
Loik Radzhabov,The Tajik Tank
Drakkar Klose,Drakkar
Ruslan Magomedov,Leopard
Blood Diamond,Blood
Viktor Pesta,Viktor
Jerron Peoples,Jerron
Lucas Gamaza,Lucas_4_2.00
Xie Bin,The Stalker
Ron Henderson,Ron_1_1.33
Ryan Larson,Ryan_9_3.00
Randall Wallace,Braveheart_1_2.50
JJ Ambrose,JJ
Mike Davis,Mike_21_2.00
Marcos Conrado Jr.,Marcos
Maria Oliveira,Spider-Girl
Amiran Gogoladze,Amiran
Victoria Leonardo,Fury_1_1.50
Derek Downey,Derek
Wagner da Conceicao Martins,Zuluzinho
Lolohea Mahe,Lolohea
Sabah Homasi,Sabah
Timothy Cuamba,Twilight
Guilherme Costa,The Prodigy_2_7.00
Galore Bofando,Galore
Iouri Kotchkine,Iouri
Jose Medina,Chicho
KJ Noons,King_4_1.44
Denys Bondar,Psycho_2_3.20
Andreas Spang,Sweet Swede
Steve Lopez,Steve_3_2.17
Jesse Strader,Sui Generis
Kailan Hill,Kailan
Ricky Palacios,El Gallero
Eli Aronov,The Israeli Tank
Ivan Serati,Ivan_2_3.00
Tom Nolan,Big Train
Montserrat Rendon,Monster_2_6.00
Luis Pajuelo,Corazon de Leon
Levi Avera,Levi
Carlton Minus,Clutch
Chris Inman,Chris_17_1.00
Kyle Bradley,Kyle_8_1.58
Asjabharan,Asjabharan
Paulo Santos,Paulo_2_0.00
Hakeem Dawodu,Mean
Cain Carrizosa,The Insane
Dave Beneteau,Dangerous_1_1.20
Terrell Brown,Terrell
Jimmy Quinlan,Crash_1_3.00
Valmir Lazaro,Bidu
Jonathan Contrestano,JT
Nohelin Hernandez,Suave_2_2.25
Sirwan Kakai,Zohan
Tae Hyun Lee,Tae
Ante Delija,Walking Trouble
Frank Hamaker,Frank_4_1.00
Jeff Terry,Jeff_2_0.67
Sam Fulton,Sam_6_0.00
Ido Pariente,Ido
Imani Lee,Imani
Herman Terrado,Herman_1_5.00
Rico Altamirano,Rico
Roman Bravo-Young,Roman_2_0.00
Nick Urso,Nick_9_3.33
Motoki Miyazawa,Motoki
Marquel Mederos,Marquel
Cameron Rowston,Van Damme
Batgerel Danaa,Storm
Daniel Weichel,The Weasel
Dylan Salvador,Dylan_1_2.50
Juan Miranda,Juan_3_1.40
Mehdi Baghdad,The Sultan
Sean Salmon,Sean_6_0.86
Jeremy Hamilton,Hawk
Bob Sapp,The Beast_9_0.55
Aji Susilo,Aji
Michelle Maher,Michelle
Ramiro Hernandez,Junior_2_2.11
David Velasquez,Little
Raquel Pa'aluhi,Rocky_3_1.20
Yazmin Jauregui,Yazmin
Nate Quarry,Rock_1_3.00
Leonardo Morales,Chimy
Mateo Vogel,Carrapato
Yamato Nishikawa,Yamato
Hiroko Yamanaka,Cat's Eye
Manolo Zecchini,Angelo Veneziano
Akihito Tanaka,Kinniku Mantaro
Jin Bala,Jin
Veta Arteaga,Veta
Alexander Shlemenko,Storm_1_6.22
Adriano Santos,Adriano_1_0.00
Brad Riddell,Quake
Carlos Huachin,Perro Malo
Larry Parker,Larry_1_2.17
ChangHo Lee,ChangHo
Carlos Felipe,Boi
Rodolfo Rubio Perez,Fito
Lucasz Sudolski,Lucasz
Melton Bowen,The Punisher_5_0.00
Edson Drago,Edson_1_1.57
Jarjis Danho,Man Mountain
Dave Herman,Dave_3_3.67
Bob Schrijber,Dirty_1_1.18
Dominic Waters,Sho Nuff
Derrick Burnsed,Derrick
Josh Diekmann,The Freight Train
Yasuhiro Urushitani,Yasuhiro
Danny Barlow,LeftHand2God
Bentley Syler,Bolivia
Mario Miranda,Mario_1_2.00
Valesca Machado,Tina Black
Bibulatov Magomed,Chaborz
Jason Saggo,Jason_8_3.00
Seth Kleinbeck,Mass Destruction
Aiemann Zahabi,Aiemann
Yusuke Kasuya,Yusuke_2_3.00
Ashe Bowman,The Archer
Yoshiaki Yatsu,Yoshiaki
Steve Vigneault,Lionheart_2_2.00
Cody Sons,Cody_4_0.43
Melchor Manibusan,Barracuda
Hugh Pulley,Hugh
Nicolae Negumereanu,Nicolae
Yusaku Nakamura,Yusaku
Drew Brokenshire,Drew_2_2.67
Remo Cardarelli,Remo
Rob McCullough,Razor_2_2.38
Juliana Lima,Ju Thai
Azat Maksum,Qazaq
Carlos Zevallos,Carlos_2_0.75
Tony Petarra,Tony_5_0.67
JJ Aldrich,JJ_1_2.17
Cole Escovedo,Apache Kid
Riki Fukuda,Riki
Willamy Freire,Chiquerim
Junye Gao,Junye
David Bielkheden,David_11_2.00
WonBin Ki,The Danger
Kaitlin Young,Kaitlin
Casey Huffman,Hellbent
Bo Cantrell,Redrum
Rico Farrington,The Triggerman
Paul Jones,Paul_6_11.00
Gabe Lemley,Gabe
Yuri Vaulin,Yuri_1_0.00
Shane Howell,Shane_3_1.30
AJ Fonseca,AJ_2_1.25
Donavon Frelow,Donavon
Jason Tan,Jason_9_1.67
Joe Son,Joe_14_0.00
Zach Rosol,Zach_3_1.50
Chris Liguori,Chris_18_1.50
Zelim Imadaev,Zelim
Garrett Gross,Garrett_2_1.57
Andreas Stahl,Real Steel
Jeremia Siregar,The Teacher_1_2.00
Joe Slick,Joe_15_3.20
Chris Barnhizer,Chris_19_0.67
Ross Pointon,The Gladiator_3_0.35
Jonas Bilharinho,Jonas
Andy Enz,Tank Mode
Michael Knaap,Hammer_1_0.82
Theo Rlayang,Jungle King
Carl Malenko,Carl_1_1.50
Chelsea Chandler,Chelsea
Alexander Crispim,Alexander_2_1.33
Chris Coggins,Chris_20_0.70
Michel Quinones,El Capo
Michal Martinek,Michal
Dion Staring,Soldier
Chris Herrera,The Crusher_1_1.50
Kai Kara-France,Don't Blink
Deshaun Johnson,Deshaun
Khomkrit Niimi,The Bumblebee
Booker DeRousse,Booker
Nick Agallar,Nick_10_4.00
Tim Lajcik,The Bohemian
Osamu Tachihikari,Osamu
Kyle Bolt,Kyle_9_2.00
Jess Bouscal,Jess
Charalampos Grigoriou,Ferocious_1_2.67
Joey Armstrong,Joey_2_2.50
Ozzy Diaz,Ozzy
Jordan Dowdy,Jordan_2_1.33
Rafael Rios,Rafael_3_2.00
Jeremiah Riggs,Jeremiah_4_0.88
Ibragim Magomedov,Ibragim
Ben Wall,Manimal
Te Edwards,Te
Dos Caras Jr.,Dos
Kaiwen,The Underdog_1_2.40
Donovan Beard,The Highlight Reel
Thaddeus Luster,Thaddeus
Jay Cucciniello,Jay_1_8.00
Simon Biyong,Simon
Alexander Munoz,Alexander_3_3.50
Nicdali Rivera-Calanoc,The Night Queen
Stephanie Frausto,Lil Bovy
Rocky Long,Rocky_4_0.57
Chris Avila,Chris_21_1.25
Keenan Raymond,Keenan
Fabricio Guerreiro,Fabricio
Viktoriia Dudakova,Viktoriia
Hiroyuki Abe,Abe Ani
Alexandre Barros,Baixinho
Billy Miles,The Kid_4_1.00
Frank Megallon,Frank_5_0.67
Shimon Smotritsky,The Assassin_5_4.00
Lukasz Sajewski,Wookie
Pat Audinwood,Awesomely Awesome
Bobby Sanchez,The Kid_5_0.29
Luis Gomez,Tiger Junior
Sean Wilson,P-Town
Roman Kopylov,Roman_3_6.00
Marcin Wrzosek,The Polish Zombie
Marlon Sims,Marlon
Kathryn Paprocki,Kathryn
Michael Page,Venom
Ramon Taveras,The Savage_4_4.50
Carlo Pedersoli Jr.,Semento
Matt Dixon,Magic_1_9.00
Nursulton Ruziboev,Black
Talita Nogueira,Treta
Ketlen Souza,Esquentadinha
Isao Kobayashi,Isao
Dakota Bush,Dakota_1_2.00
Steven Graham,Steven
Mizuki,Mizuki
Justin McCully,The Insane One
Jose Alday,Pochito
Gerard Gordeau,Gerard
Josh Shockman,The War Hammer
Rhys McKee,Skeletor
Carter Williams,The Beast_10_0.80
Javy Ayala,Eye Candy
Augusto Sakai,Augusto
Jeff Cox,The Grinder_1_1.43
Jason Suttie,Nobunaga
Collin Anglin,Collin
Denis Sobolev,Denis_3_0.57
Jin Oh Kim,Jin_1_0.00
Adli Edwards,Adli
Joshua Wang-Kim,Twin Dragon
Elisha Helsper,Knuckles
Ryan Parker,Ryan_10_0.00
Billy Goff,Billy_4_4.50
Lu Zhengyong,Lu
Jean Silva,White Bear
Wes Shivers,Wes_1_7.00
Brandon Lewis,Brandon_4_3.00
Josh Paiva,Josh_13_4.00
Issac DeJesus,Issac
Filip Pejic,Filip
Alex Reyes,The Executioner_1_3.25
Mark Eddiva,Mark_6_2.00
Murad Chunkaiev,Murad
Gilbert Aldana,El Peligro
Kelly Faszholz,Kelly
Ryan Bastianelli,Relentless_3_0.86
Jinensibieke Asikeerbai,Jinensibieke
Nurullo Aliev,Tajik Eagle
Danny Davis,Danny_2_1.18
Shin Haraguchi,Shin
John Matua,John_10_0.25
Reza Nasri,Reza
Aaron Trujillo,Aaron_5_0.00
Atsushi Yamamoto,Atsushi
Akira Kikuchi,Akira_1_4.00
Marcelo Brito,Jungle Boy
Reese Andy,Riptide
Fredy Serrano,El Profe
Daniel Gallemore,Big Kansas
Gilbert Jimenez,Gilbert_2_0.67
Alexander Poppeck,Alexander_4_3.00
Dillon Smith,Dillon
Cesar Almeida,Cesinha
Hugo Cunha,Silverback_2_6.00
Jason McLean,Jason_10_0.86
Laverne Clark,Laverne
Adrienna Jenkins,AJ_3_3.17
Val Woodburn,The Animal_2_7.00
David Lee,David_12_1.20
Fabio Mello,Fabio_1_1.38
Rosi Sexton,The Surgeon
Claudio Ribeiro,Claudio
Dave Rickels,The Caveman
Ben Reiter,The Hunter
Ryan Madigan,Ryan_11_1.67
Joey Roberts,Joey_3_1.33
Felix Lee Mitchell,Felix
Richie Smullen,Richie
Alberta Cerra Leon,Alberta
Andrew Todhunter,The Sniper_3_8.00
Horacio Gutierrez,The Punisher_6_1.33
Kolton Englund,White Assassin
Wagner Silva,Wagnao
Kevin Knabjian,Kevin_3_1.71
Alonzo Martinez,Zo Diddy
Taiyilake Nueraji,Super Saiyan_1_9.00
Jorge Ortiz,The Naked Man
Mark Madsen,The Olympian
Ahmad Hassanzada,Lion of the Ring
Josh San Diego,JSD
Eric Galvan,Eric_9_0.00
Rafael Fiziev,Ataman
Matt Pedro,Matt_9_3.00
JJ Okanovich,The Bosnian Bomber_1_7.00
Abu Azaitar,Captain Morocco
Ariel Gandulla,Ariel
Brandon Polcare,Brandon_5_1.00
Dave Courchaine,Dave_4_2.86
Johnny Rhodes,Johnny_3_2.00
Pat Benson,Pat_1_0.60
Vitaly Minakov,Vitaly
Byron Bloodworth,Byron
Cameron VanCamp,Jumpman
Ronald Carillo,Ronald
Steve White,Steve_4_0.25
Stephen Ledbetter,Stephen_1_2.67
Kengo Watanabe,Kengo
Augusto Mendes,Tanquinho
Josh McDonald,Josh_14_1.80
Ike Villanueva,Hurricane_3_1.29
Kenji Arai,Kenji_1_1.00
Felipe Pena,Preguica
Waachiim Spiritwolf,Native Warrior
Norman Parke,Stormin'
Alan Baudot,The Black Samourai
Guilherme Viana,Guilherme
Manuel Gaxhja,Manuel
Jairzinho Rozenstruik,Bigi Boy
Tanner Boser,The Bulldozer
Eldari Kurtanidze,Eldari
Jesus Pinedo,El Mudo
Mitch Raposo,Mitch_1_5.00
Gary Frazier,Gary_2_1.00
Francois Botha,White Buffalo
Todd Butler,Todd_3_0.25
Kelly Kobold,Blood Red
John Lewis,John_11_0.75
Andrew Ramm,The_1_1.00
Ruben Villareal,Warpath
Doug Kay,Doug_1_0.00
David Smith,David_13_5.00
Micheal Gillmore,The Gentleman_1_1.20
Fabio Cherant,Water Buffalo
Mayana Kellem,Mayana
Puja Tomar,The Cyclone
Elvis Mutapcic,The King_3_2.50
Alexander Sarnavskiy,Tiger_3_5.83
Joe Merritt,Joe_16_3.50
Aliev Makhmud,Aliev
Brad Gumm,Brad_5_1.67
Adrian Diaz,Adrian_1_2.75
Feng Pengchao,Feng
Jordan Radev,Jordan_3_4.60
Tadao Yasuda,Tadao
Young Hwang,Young_1_1.60
Xue Do Won,Xue
Drew Pendleton,Drew_3_5.00
Matt Andersen,Matt_10_1.75
Estefani Almeida,Estefani
Thomas Campbell,Thomas_2_1.00
Kevin Roddy,K-Rod
David Avellan,David_14_2.00
Ashkan Mokhtarian,The Assassin_6_4.33
Koyomi Matsushima,Koyomi
Marco Ruas,King of the Streets
Brett Rogers,The Grim
Brianna Fortino,The Bull_2_3.00
Devin Cole,Devin_2_2.00
Ryan Stonitsch,Ryan_12_8.00
Rodney Faverus,Rodney
James Mulheron,James_7_5.50
Jonny Carson,Jonny_1_1.57
Nick Hein,Sergeant
Adam Hunter,Warhammer
Mark Cherico,The Pride of Bloomfield
Nick Nolte,Nick_11_1.25
Kyu Sung Kim,Kyu
Gleristone Santos,Toninho Furia
Emily Ducote,Gordinha
Andy Waters,Andy_1_0.50
Jason Gilliam,Jason_11_1.56
Johnny Cisneros,The Tattooed Terror
Art Jimmerson,Art
Justin Hawes,The Hawk
Art Santore,Pachuco
Charlie Ward,Charlie_2_1.00
Jianping Yang,Jianping
Tony Halme,Tony_6_0.00
Clint Hester,Headbussa
Bas Rutten,El Guapo_2_7.00
Frank Camacho,The Crank
Sheymon Moraes,Sheymon
Ian McCall,Uncle Creepy
Jonathan Wilson,Johnny Bravo
Julio Cesar Neves Jr.,Morceguinho
Hisaki Kato,Hisaki
Karol Rosa,Karol
Bao Quach,Bao
Alex Soto,Extremo
Richie Hightower,The Dirty Samurai
Chris Hawk,Chris_22_0.50
Fabio Aguiar,Fabio_2_17.00
Salvador Woods,Salvador_1_0.47
Terrence Mitchell,Terrence
Thomas Paull,Juggernaut
Paulo Costa,The Eraser_1_7.00
Josh Bryant,The Beast_11_3.75
Ravena Oliveira,Kenoudy
Ed Ratcliff,9mm
Maheshate,Maheshate
Luke Jumeau,The Jedi
Stephanie Webber,Stephanie_1_1.00
Bob Cook,Crazy
Alex Enlund,Alex_8_7.00
Dariya Zheleznykova,Dariya
Davi Bittencourt,The Black
Francimar Barroso,Bodao
Abubakar Nurmagomedov,Abubakar
Kerry Schall,Meat Truck
Eddie Ruiz,Eddie_3_1.00
Raul Sandoval,Raul_1_1.00
Justin Gaethje,The Highlight
Daniel Acacio,Daniel_10_1.67
Greg Rebello,Ribz
Andrey Koreshkov,Spartan_3_9.50
Erik Silva,The King_4_4.50
Geza Kalman,Geza
Sean Gannon,The Cannon_2_2.00
Dustin Moore,Dustin_2_0.00
Cesar Marscucci,Cesar
Wayne Phillips,Wayne_1_1.00
Jennifer Gonzalez,Jefa
Ryan MacDonald,Main Event
Izabela Badurek,Izabela
Alavutdin Gadjiev,Alavutdin
Zviad Lazishvili,Zviad
Scott McAfee,Scott_10_2.00
Cameron Smotherman,The Baby-Faced Killa
Rafael Carvalho,Rafael_4_14.00
Chris Hofmann,Chris_23_4.50
Jaimelene Nievera,Queenie
Brandon Magana,Brandon_6_3.00
Jaime Alvarez,Jaime
Emanuel Newton,The Hardcore Kid
Gary Mangat,Gary_3_5.00
Steve Kozola,Steve_5_8.00
Shonte Barnes,Shyne
Jesse Juarez,Jesse_4_1.92
Brendon Marotte,The Kid_6_4.00
Yuji Nagata,Yuji
Alton Cunningham,The Bo-Man
Nikolay Veretennikov,Nikolay
Chad Johnson,Big Rigg
Marcus Brimage,The Bama Beast
Jared Papazian,The Jackhammer
Matheus Scheffel,Buffa
Scott Bessac,Scott_11_0.67
Yuki Ishikawa,Yuki_1_0.00
Julie Kedzie,Julie
Dennis Dombrow,Dennis_3_1.40
Tulio Palhares,Tulio
Peter Petties,The Joker_4_1.67
Jake Hecht,Hitman_2_2.75
Bobby Stack,Bobby_4_2.67
Henrique Shiguemoto,Henrique
Eun Soo Lee,Eun
Bristol Marunde,Bristol
Ivan Shtyrkov,Ural Hulk
Emilio Chavez,Emilio
Edward Faaloloto,Edward
Brian McLaughlin,Brian_6_3.00
Adam Smith,Adam_6_0.00
Carina Damm,Beauty But the Beast
Minoru Toyonaga,Minoru
Wataru Sakata,Wataru
Victor Madrigal,Periquito
Ray Steinbeiss,Ipswitch Cobra
Stipe Miocic,Stipe
CJ Fernandes,CJ_3_1.75
Joe Benoit,Joe_17_2.75
Ken Cross,The Boss_4_3.67
Nordine Taleb,Nordine
Tomohiko Hashimoto,Tomohiko
Ronald Jhun,The Machine Gun
Akira Corassani,Akira_2_2.00
Caros Fodor,The Future_2_1.83
Pedro Rocha,Pedro
Mario Piazzon,Mario_2_8.00
Besam Yousef,Besam
Willie Peeters,Willie_1_0.90
Marco Polo Reyes,Marco
Oleksandr Doskalchuk,Oleksandr
Amir Rahnavardi,Amir_2_1.10
Shonie Carter,Mr. International
John Kuhner,John_12_0.50
Jack Morrison,Jack_3_0.00
Carl Toomey,Carl_2_1.00
Deron Winn,Deron
Hailey Cowan,All Hail
Chris Bostick,Chris_24_2.00
Ernie Verdicia,Ernie
Paul Rodriguez,Paul_7_1.11
Mal Foki,Twin Tiger
Grigory Popov,Grigory
Kevin Vallejos,El Chino
Taylor Callens,Taylor_2_6.00
Roger Hollett,The Hulk_3_2.60
Eduardo Bustillos,Eduardo_1_1.67
So Yul Kim,So
Russell Patrick,Russell_1_1.50
Thanh Le,Thanh
Pedro Otavio,Te Pedro
Ricardo Funch,Golden Boy_2_1.50
Jesse Moreng,Arturo
Mikey Burnett,The Eastside Assassin
Brandon Gaines,Brandon_7_0.24
Jesse Bongfeldt,Water
Rongzhu,Rongzhu
Nick Roehrick,Nick_12_7.00
Karl Reed,No Worries
John Hosman,John_13_2.25
Takenori Sato,Takenori
Damian Grabowski,The Polish Pitbull
Dan Manasoiu,Dan_4_0.00
Shamar Bailey,Shamar
Francesco Maturi,Francesco
Pedro Rizzo,The Rock_1_1.82
Paul Bradley,The Gentleman_2_2.88
Nolan Ticman,Nolan
David Barrios,David_15_0.50
Justin Salas,J-Bomb
Scott Lighty,Scott_12_3.00
Hussain Rasouli,Hussain
Ericka Almeida,Ericka
Hiroyuki Takaya,Streetfight Bancho
Rico DiSciullo,Rico_1_4.50
Phil Johns,Phil_1_2.14
Chuck O'Neil,Cold Steel
Willie Parks,Slick_1_2.50
Kevin Borjas,El Gallo Negro
Jhonata Silva,Jhonata_1_4.00
Stephen Thompson,Wonderboy
Humberto Brown Morrison,Humberto_2_0.67
Fernando Bettega,Fernando
