name,nickname
Jason Miller,Mayhem
Chad George,Savage_1_2.00
Dong Sik Yoon,Dong
Sam Hoger,The Alaskan Assassin
Everett Sims,Sexual Chocolate
Brian Ortega,T-City
Ricardo Almeida,Big Dog
John Alessio,The Natural
Daiju Takase,Daiju
Fabricio Werdum,Vai Cavalo
Greg Nagy,Greg
Billy Quarantillo,Billy_1_3.60
Denis Kang,Denis
Rafael Dias,Rafael
Bobby Hoffman,The Truth
Luke Flores,Luke_2_4.50
Alvin Robinson,Alvin
Michael McBride,Michael
CB Dollaway,The Doberman
Jeremiah Wells,Jeremiah_2_4.00
Kevin Ferguson,Kimbo Slice
Joao Paulo Faria,Joao
Paulo Thiago,Paulo_1_2.00
Elvis Sinosic,The King of Rock n' Rumble
Sean Brady,Sean_2_16.00
Yuta Sasaki,Ulka
Ricardo Arona,The Brazilian Tiger
Vitor Ribeiro,Shaolin
Murilo Rua,Ninja_1_1.54
Yizha,Yizha
Leandro Issa,Brodinho
Travis Wiuff,The Diesel
Jordan Johnson,Jordan_1_10.00
Tresean Gore,Mr. Vicious
Gilbert Smith,Gilbert
Jake Shields,Jake_1_3.44
Naoya Ogawa,Naoya
Jeff Curran,Big Frog
Gabriel Santos,Mosquitinho
Donald Cerrone,Cowboy
Donnie Liles,Donnie
Jason Ireland,The Irish Tornado
Jalin Turner,The Tarantula
Yan Cabral,Yan
Jesse Forbes,Kid Hercules
Jared Rollins,J-Roc
Kamuela Kirk,The Jawaiian
Brandon Halsey,Bull
Murilo Bustamante,Murilo
Dustin Poirier,The Diamond_1_3.62
Jordan Rinaldi,All Day
Nik Lentz,The Carny
Din Thomas,Dinyero
Christian Wellisch,The Hungarian Nightmare
Erin Blanchfield,Cold Blooded
Luis Pena,Violent Bob Ross
JunYong Park,The Iron Turtle
Allen Crowder,Pretty Boy
Matt Hughes,Matt_3_5.00
Mike Guymon,The Joker_1_2.50
Dylan Lockard,Dylan
Dan Christison,The Sandman
Darren Elkins,The Damage
Alvaro Herrera Mendoza,Chango
Justin Jaynes,The Guitar Hero
Steven Koslow,Obi Won Shinobi The Pillow
Jordan Leavitt,The Monkey King
Rubens Xavier,Macula
Mike Santiago,Mike_8_1.58
James McSweeney,The Hammer_2_1.00
Dricus Du Plessis,Stillknocks
Gabriel Gonzaga,Napao
John Maguire,The One
Anthony Perosh,The Hippo
Dennis Bermudez,The Menace
Cody Brundage,Cody_1_2.00
Rich Clementi,No Love
Gabriel Benitez,Moggly
Daniel Straus,Daniel_4_3.43
Makwan Amirkhani,Mr. Finland
Georges St-Pierre,Rush
Goran Reljic,Goran
Pat Healy,Bam Bam
Loopy Godinez,Loopy
Youssef Zalal,The Moroccan Devil
John Moraga,John
Gesias Cavalcante,JZ
Julius Anglickas,Julius
Tom Breese,Tom_2_4.00
Makoto Takimoto,Makoto
Nate Landwehr,The Train_1_3.40
Frank Shamrock,Frank_1_2.30
Gegard Mousasi,Gegard
Semmy Schilt,Hightower
Joe Ellenberger,Excalibur
Trenell Young,Savant
